parent_id,child_id,parent_name,child_name
1,2,GlobalTech Group,Innovate Solutions
1,3,GlobalTech Group,Quantum Systems
1,4,GlobalTech Group,Velocity Enterprises
2,5,Innovate Solutions,Metro Networks
2,6,Innovate Solutions,Pioneer Labs
3,7,Quantum Systems,Vista Technologies
3,8,Quantum Systems,Oceanic Innovations
4,9,Velocity Enterprises,Hyperion Systems
4,10,Velocity Enterprises,Zenith Dynamics
5,11,Metro Networks,Nexus Tech
5,12,Metro Networks,Prime Solutions
6,13,Pioneer Labs,Streamline Networks
6,14,Pioneer Labs,Apex Services
7,15,Vista Technologies,GlobalWave Technologies
7,16,Vista Technologies,Infinity Services
8,17,Oceanic Innovations,Blue Horizon Tech
8,18,Oceanic Innovations,Skyward Enterprises
9,19,Hyperion Systems,Trinity Networks
9,20,Hyperion Systems,Centaur Innovations
10,21,Zenith Dynamics,Orbit Solutions
10,22,Zenith Dynamics,Altair Systems
11,23,Nexus Tech,CoreTech Solutions
11,24,Nexus Tech,NextGen Services
12,25,Prime Solutions,FutureWave Systems
12,26,Prime Solutions,StarTech Networks
13,27,Streamline Networks,Phoenix Labs
13,28,Streamline Networks,EdgeTech Solutions
14,29,Apex Services,Vanguard Systems
14,30,Apex Services,Dynamic Networks
